Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
bota-boga-citadina-det-hebilla-negro-combinado-reptil-1ub4f;Bota Boga Citadina Det Hebilla Negro Combinado Reptil;MUJER > CALZADO > Botas;Color;Negro;Talle;36;;;106,999.00;;1.10;0.00;0.00;0.00;1;608595100036;;SI;NO;"<p><strong data-path-to-node=""2,0"" data-index-in-node=""0"">Bota Citadina Boga - Negro Combinado Reptil con Hebilla</strong> Un dise&ntilde;o pensado para pisar fuerte en la ciudad. Esta bota de la l&iacute;nea Citadina de Boga combina a la perfecci&oacute;n la elegancia del cl&aacute;sico color negro con un audaz detalle texturizado en s&iacute;mil reptil. El aplique de hebilla lateral le aporta un toque de distinci&oacute;n y car&aacute;cter que no pasa desapercibido. Ideal para realzar tus looks tanto de d&iacute;a como de noche con un calzado &uacute;nico y sofisticado.</p>";botas, botas con hebillas, citadina, negro, reptil;;;Citadina;SI;;;;0.00
bota-boga-citadina-det-hebilla-negro-combinado-reptil-1ub4f;;;Color;Negro;Talle;37;;;106,999.00;;1.10;0.00;0.00;0.00;1;608595100037;;;;;;;;;;;;;0.00
bota-boga-citadina-det-hebilla-negro-combinado-reptil-1ub4f;;;Color;Negro;Talle;38;;;106,999.00;;1.10;0.00;0.00;0.00;1;608595100038;;;;;;;;;;;;;0.00
bota-boga-citadina-det-hebilla-negro-combinado-reptil-1ub4f;;;Color;Negro;Talle;39;;;106,999.00;;1.10;0.00;0.00;0.00;1;608595100039;;;;;;;;;;;;;0.00
bota-boga-citadina-det-hebilla-negro-combinado-reptil-1ub4f;;;Color;Negro;Talle;40;;;106,999.00;;1.10;0.00;0.00;0.00;1;608595100040;;;;;;;;;;;;;0.00
zapatillas-urbanas-atomik-reece-blanco-negro-1uesp;Zapatillas Urbanas Atomik Reece Blanco/Negro;MUJER > CALZADO > Zapatillas Urbanas;Color;Blanco;Talle;35;;;107,999.00;;0.00;0.00;0.00;0.00;1;594433330135;;SI;NO;"<p>&bull; Zapatilla casual skate acordonada.&bull; Capellada de sint&eacute;tico simil cuero con detalles microperforados.&bull; Suela de TR resistente.&bull; Con plantilla con memoria.</p>";dama, mujer, zapatillas, zapatillas urbanas;;;Jaguar;SI;;;;0.00
zapatillas-urbanas-atomik-reece-blanco-negro-1uesp;;;Color;Blanco;Talle;36;;;107,999.00;;0.00;0.00;0.00;0.00;1;594433330136;;;;;;;;;;;;;0.00
zapatillas-urbanas-atomik-reece-blanco-negro-1uesp;;;Color;Blanco;Talle;37;;;107,999.00;;0.00;0.00;0.00;0.00;1;594433330137;;;;;;;;;;;;;0.00
zapatillas-urbanas-atomik-reece-blanco-negro-1uesp;;;Color;Blanco;Talle;38;;;107,999.00;;0.00;0.00;0.00;0.00;1;594433330138;;;;;;;;;;;;;0.00
zapatillas-urbanas-atomik-reece-blanco-negro-1uesp;;;Color;Blanco;Talle;39;;;107,999.00;;0.00;0.00;0.00;0.00;1;594433330139;;;;;;;;;;;;;0.00
zapatillas-urbanas-atomik-reece-blanco-negro-1uesp;;;Color;Blanco;Talle;40;;;107,999.00;;0.00;0.00;0.00;0.00;1;594433330140;;;;;;;;;;;;;0.00
valija-go-mediana-21-rigida-rosa-gold-ideal-para-viajes-cortos;"Valija GO Mediana 21"" Rígida Rosa Gold - Ideal para Viajes Cortos";MUJER > ACCESORIOS > Valijas;Color;Rosa;Talle;"21""";;;94,499.00;;3.00;0.00;0.00;0.00;3;;;SI;NO;"<h2 data-path-to-node=""13""><strong data-path-to-node=""13"" data-index-in-node=""0"">Valija Mediana 21"" - Capacidad Extra</strong></h2>
<p data-path-to-node=""14""><strong data-path-to-node=""14"" data-index-in-node=""0"">Para los que necesitan un poco m&aacute;s de espacio sin cargar una valija gigante.</strong></p>
<p data-path-to-node=""15"">Si tus viajes duran una semana o sol&eacute;s traer recuerdos de tus vacaciones, la de 21"" es tu mejor opci&oacute;n. Ofrece un volumen interno superior manteniendo una estructura &aacute;gil y f&aacute;cil de maniobrar.</p>
<ul data-path-to-node=""16"">
<li>
<p data-path-to-node=""16,0,0""><strong data-path-to-node=""16,0,0"" data-index-in-node=""0"">Uso recomendado:</strong> Viajes de media duraci&oacute;n o como equipaje de bodega liviano.</p>
</li>
<li>
<p data-path-to-node=""16,1,0""><strong data-path-to-node=""16,1,0"" data-index-in-node=""0"">Capacidad:</strong> Ideal para 5 a 7 d&iacute;as de uso intensivo.</p>
</li>
<li>
<p data-path-to-node=""16,2,0""><strong data-path-to-node=""16,2,0"" data-index-in-node=""0"">Maniobrabilidad:</strong> Sistema de ruedas 360&deg; que permite llevarla sin esfuerzo incluso con carga m&aacute;xima.</p>
</li>
<li>
<p data-path-to-node=""16,3,0""><strong data-path-to-node=""16,3,0"" data-index-in-node=""0"">Dise&ntilde;o:</strong> Terminaciones de alta calidad y mango telesc&oacute;pico de varias posiciones.</p>
</li>
</ul>";CARRY ON GO, rígidas, ruedas, valijas, viaje;;;GO;SI;;;;
valija-go-de-cabina-19-rosa-gold-el-estandar-de-viaje;"Valija GO de Cabina 19"" Rosa Gold - El Estándar de Viaje";MUJER > ACCESORIOS > Valijas;Color;Rosa;Talle;"19""";;;82,499.00;;2.50;0.00;0.00;0.00;3;;;SI;NO;"<h2 data-path-to-node=""8""><strong data-path-to-node=""8"" data-index-in-node=""0"">Valija de Cabina 19"" - El Est&aacute;ndar de Viaje</strong></h2>
<p data-path-to-node=""9""><strong data-path-to-node=""9"" data-index-in-node=""0"">Equilibrio perfecto entre capacidad y comodidad.</strong></p>
<p data-path-to-node=""10"">Nuestra valija de 19 pulgadas es la compa&ntilde;era cl&aacute;sica para cualquier viajero. Tiene el tama&ntilde;o justo para llevar todo lo necesario sin necesidad de despachar equipaje, ahorr&aacute;ndote tiempo en la cinta de espera.</p>
<ul data-path-to-node=""11"">
<li>
<p data-path-to-node=""11,0,0""><strong data-path-to-node=""11,0,0"" data-index-in-node=""0"">Uso recomendado:</strong> Carry-on est&aacute;ndar para todas las aerol&iacute;neas.</p>
</li>
<li>
<p data-path-to-node=""11,1,0""><strong data-path-to-node=""11,1,0"" data-index-in-node=""0"">Capacidad:</strong> Perfecta para viajes de 3 a 4 d&iacute;as.</p>
</li>
<li>
<p data-path-to-node=""11,2,0""><strong data-path-to-node=""11,2,0"" data-index-in-node=""0"">Organizaci&oacute;n:</strong> Interior totalmente forrado con correas ajustables para sujetar tu ropa.</p>
</li>
<li>
<p data-path-to-node=""11,3,0""><strong data-path-to-node=""11,3,0"" data-index-in-node=""0"">Seguridad:</strong> Incluye candado de combinaci&oacute;n integrado para tu tranquilidad.</p>
</li>
</ul>";CARRY ON GO, rígidas, ruedas, valijas, viaje;;;GO;SI;;;;
valija-go-carry-on-17-rigida-rosa-gold-tamano-cabina-low-cost;"Valija GO Carry On 17"" Rígida Rosa Gold - Tamaño Cabina Low Cost";MUJER > ACCESORIOS > Valijas;Color;Rosa;Talle;"17""";;;74,999.00;;2.00;0.00;0.00;0.00;3;;;SI;NO;"<h2 data-path-to-node=""3""><strong data-path-to-node=""3"" data-index-in-node=""0"">1. Valija Carry On 17"" - Especial Low Cost</strong></h2>
<p data-path-to-node=""4""><strong data-path-to-node=""4"" data-index-in-node=""0"">El tama&ntilde;o ideal para no pagar de m&aacute;s en tus vuelos.</strong></p>
<p data-path-to-node=""5"">Esta valija est&aacute; dise&ntilde;ada espec&iacute;ficamente para cumplir con las medidas m&aacute;s estrictas de las aerol&iacute;neas low cost. Es compacta, liviana y perfecta para escapadas de un fin de semana o viajes de negocios r&aacute;pidos.</p>
<ul data-path-to-node=""6"">
<li>
<p data-path-to-node=""6,0,0""><strong data-path-to-node=""6,0,0"" data-index-in-node=""0"">Uso recomendado:</strong> Cabina de avi&oacute;n (debajo del asiento o compartimento superior).</p>
</li>
<li>
<p data-path-to-node=""6,1,0""><strong data-path-to-node=""6,1,0"" data-index-in-node=""0"">Capacidad:</strong> Ideal para 1 a 2 d&iacute;as de viaje (aprox. 3 a 5 mudas de ropa).</p>
</li>
<li>
<p data-path-to-node=""6,2,0""><strong data-path-to-node=""6,2,0"" data-index-in-node=""0"">Movilidad:</strong> Ruedas reforzadas para un deslizamiento suave en aeropuertos.</p>
</li>
<li>
<p data-path-to-node=""6,3,0""><strong data-path-to-node=""6,3,0"" data-index-in-node=""0"">Material:</strong> Estructura r&iacute;gida de alta resistencia contra impactos.</p>
</li>
</ul>";CARRY ON GO, rígidas, ruedas, valijas, viaje;;;GO;SI;;;;
bota-bethany-massimo-chiesa-corta-c-cierres-camel-1370g;Bota Bethany Massimo Chiesa Corta C/Cierres Camel;MUJER > CALZADO > Botas;Color;Camel;Talle;36;;;133,999.00;;1.10;0.00;0.00;0.00;1;100561662236;;SI;NO;"<p><strong data-path-to-node=""2,0"" data-index-in-node=""0"">Bota Corta Bethany - Massimo Chiesa (Color Camel)</strong> Aporta luminosidad y un toque relajado a tus looks diarios. Esta bota de ca&ntilde;a corta en un hermoso tono camel es el comod&iacute;n perfecto para transitar la temporada con mucho estilo. Destaca por sus pr&aacute;cticos cierres laterales, que le suman un detalle urbano y aseguran un calce r&aacute;pido y s&uacute;per c&oacute;modo. Es el calzado ideal para combinar con prendas en tonos tierra, denim cl&aacute;sico o vestidos de estilo boho.</p>";bota con cierre, botas, camel, massimo chiesa;;;Massimo Chiesa;SI;;;;0.00
bota-bethany-massimo-chiesa-corta-c-cierres-camel-1370g;;;Color;Camel;Talle;37;;;133,999.00;;1.10;0.00;0.00;0.00;1;100561662237;;;;;;;;;;;;;0.00
bota-bethany-massimo-chiesa-corta-c-cierres-camel-1370g;;;Color;Camel;Talle;38;;;133,999.00;;1.10;0.00;0.00;0.00;1;100561662238;;;;;;;;;;;;;0.00
bota-bethany-massimo-chiesa-corta-c-cierres-camel-1370g;;;Color;Camel;Talle;39;;;133,999.00;;1.10;0.00;0.00;0.00;1;100561662239;;;;;;;;;;;;;0.00
bota-bethany-massimo-chiesa-corta-c-cierres-camel-1370g;;;Color;Camel;Talle;40;;;133,999.00;;1.10;0.00;0.00;0.00;1;100561662240;;;;;;;;;;;;;0.00
bota-margaret-massimo-chiesa-c-elastico-ngero-1es63;Bota Margaret Massimo Chiesa C/Elastico Ngero;MUJER > CALZADO > Botas;Color;Negro;Talle;36;;;133,999.00;;1.10;0.00;0.00;0.00;1;100514350036;;SI;NO;"<p><strong data-path-to-node=""2,0"" data-index-in-node=""0"">Bota Margaret - Massimo Chiesa (Negro con El&aacute;stico)</strong> Eleva tu estilo diario con un cl&aacute;sico reinventado. La bota Margaret destaca por su inconfundible dise&ntilde;o tipo Chelsea en un vers&aacute;til color negro. Incorpora paneles el&aacute;sticos laterales que no solo le aportan una est&eacute;tica moderna y limpia, sino que tambi&eacute;n garantizan un calce r&aacute;pido, preciso y s&uacute;per c&oacute;modo. Su taco cuadrado y plataforma te brindan la altura ideal sin sacrificar la estabilidad que necesitas para estar en movimiento todo el d&iacute;a.</p>";botas, botas con elastico, margaret, massimo chiesa;;;Massimo Chiesa;SI;;;;0.00
bota-margaret-massimo-chiesa-c-elastico-ngero-1es63;;;Color;Negro;Talle;37;;;133,999.00;;1.10;0.00;0.00;0.00;1;100514350037;;;;;;;;;;;;;0.00
bota-margaret-massimo-chiesa-c-elastico-ngero-1es63;;;Color;Negro;Talle;38;;;133,999.00;;1.10;0.00;0.00;0.00;1;100514350038;;;;;;;;;;;;;0.00
bota-margaret-massimo-chiesa-c-elastico-ngero-1es63;;;Color;Negro;Talle;39;;;133,999.00;;1.10;0.00;0.00;0.00;1;100514350039;;;;;;;;;;;;;0.00
bota-margaret-massimo-chiesa-c-elastico-ngero-1es63;;;Color;Negro;Talle;40;;;133,999.00;;1.10;0.00;0.00;0.00;1;100514350040;;;;;;;;;;;;;0.00
bota-margaret-massimo-chiesa-c-elastico-ngero-1es63;;;Color;Negro;Talle;41;;;133,999.00;;1.10;0.00;0.00;0.00;1;100514350041;;;;;;;;;;;;;0.00
valija-go-mediana-21-rigida-negro-ideal-para-viajes-cortos;"Valija GO Mediana 21"" Rígida Negro - Ideal para Viajes Cortos";MUJER > ACCESORIOS > Valijas;Color;Negro;Talle;"21""";;;94,499.00;;3.00;0.00;0.00;0.00;3;;;SI;NO;"<h2 data-path-to-node=""13""><strong data-path-to-node=""13"" data-index-in-node=""0"">Valija Mediana 21"" - Capacidad Extra</strong></h2>
<p data-path-to-node=""14""><strong data-path-to-node=""14"" data-index-in-node=""0"">Para los que necesitan un poco m&aacute;s de espacio sin cargar una valija gigante.</strong></p>
<p data-path-to-node=""15"">Si tus viajes duran una semana o sol&eacute;s traer recuerdos de tus vacaciones, la de 21"" es tu mejor opci&oacute;n. Ofrece un volumen interno superior manteniendo una estructura &aacute;gil y f&aacute;cil de maniobrar.</p>
<ul data-path-to-node=""16"">
<li>
<p data-path-to-node=""16,0,0""><strong data-path-to-node=""16,0,0"" data-index-in-node=""0"">Uso recomendado:</strong> Viajes de media duraci&oacute;n o como equipaje de bodega liviano.</p>
</li>
<li>
<p data-path-to-node=""16,1,0""><strong data-path-to-node=""16,1,0"" data-index-in-node=""0"">Capacidad:</strong> Ideal para 5 a 7 d&iacute;as de uso intensivo.</p>
</li>
<li>
<p data-path-to-node=""16,2,0""><strong data-path-to-node=""16,2,0"" data-index-in-node=""0"">Maniobrabilidad:</strong> Sistema de ruedas 360&deg; que permite llevarla sin esfuerzo incluso con carga m&aacute;xima.</p>
</li>
<li>
<p data-path-to-node=""16,3,0""><strong data-path-to-node=""16,3,0"" data-index-in-node=""0"">Dise&ntilde;o:</strong> Terminaciones de alta calidad y mango telesc&oacute;pico de varias posiciones.</p>
</li>
</ul>";CARRY ON GO, rígidas, ruedas, valijas, viaje;;;GO;SI;;;;0.00
